DayOfWeek,DepTime,TaxiOut,DepTime_Min
7,1945.0,22.0,1185.0
7,909.0,29.0,549.0
7,952.0,26.0,592.0
7,1039.0,19.0,639.0
7,2105.0,55.0,1265.0
7,920.0,34.0,560.0
6,1822.0,29.0,1102.0
6,730.0,37.0,450.0
6,1616.0,35.0,976.0
6,1102.0,27.0,662.0
6,1301.0,26.0,781.0
6,1912.0,30.0,1152.0
6,2151.0,16.0,1311.0
6,1313.0,24.0,793.0
6,1618.0,21.0,978.0
6,1059.0,22.0,659.0
6,1609.0,25.0,969.0
6,1121.0,22.0,681.0
6,1443.0,31.0,883.0
6,2153.0,19.0,1313.0
6,1358.0,16.0,838.0
6,1610.0,60.0,970.0
6,1308.0,22.0,788.0
6,2010.0,25.0,1210.0
6,2040.0,25.0,1240.0
6,1121.0,24.0,681.0
6,1820.0,18.0,1100.0
6,1817.0,39.0,1097.0
6,1407.0,20.0,847.0
6,1053.0,26.0,653.0
6,840.0,21.0,520.0
6,1249.0,20.0,769.0
6,1624.0,23.0,984.0
6,1424.0,16.0,864.0
6,712.0,24.0,432.0
6,859.0,68.0,539.0
6,2020.0,29.0,1220.0
6,930.0,32.0,570.0
6,1438.0,23.0,878.0
6,1251.0,22.0,771.0
6,716.0,18.0,436.0
6,1115.0,15.0,675.0
6,1803.0,29.0,1083.0
6,2019.0,23.0,1219.0
6,1026.0,18.0,626.0
6,2021.0,31.0,1221.0
6,923.0,21.0,563.0
6,1611.0,32.0,971.0
6,1104.0,25.0,664.0
6,1308.0,31.0,788.0
